Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
193124:2580,52,1035414.60277,[1-52],1026788.91914
193207:2584,112,6839370.35896,[54-165],6752712.20964
193334:2587,144,8991983.37092,[29-172],8867352.3805
193336:2587,935,43017076.203,"[1-264], [267-492], [495-684], [687-729], [732-943]",42642951.4622
193541:2590,535,26883206.1245,"[77-101], [103-413], [416-575], [578-616]",26362623.1598
193556:2591,43,3278720.86374,[41-83],3192953.59694
193557:2591,82,5617715.8068,[1-82],5555112.14182
193575:2593,695,40089909.5965,"[48-173], [176-349], [351-394], [397-415], [417-658], [660-749]",39506719.6236
193621:2596,1584,89532644.6754,"[60-570], [573-769], [772-976], [979-1053], [1056-1137], [1139-1193], [1195-1371], [1373-1654]",88499780.758
193834:2605,35,995983.771233,[1-35],986845.984931
193835:2605,25,689084.957517,"[1-20], [22-26]",645087.358957
193836:2605,2,55052.368235,[1-2],54007.1837195
193998:2616,212,19358319.7137,"[66-113], [115-278]",19072545.7697
193999:2616,45,3655908.26557,[1-45],3622618.22133
194027:2617,61,5247754.17497,[53-113],5184329.26368
194050:2621,1801,110625761.259,"[53-113], [116-273], [275-355], [357-369], [372-391], [394-490], [492-814], [816-1435], [1437-1735], [1760-1888]",108978715.681
194051:2621,12,490981.482077,[1-12],479719.532398
194052:2621,164,6521859.92276,"[1-99], [102-166]",6468105.17182
194075:2623,63,5630016.8736,"[48-101], [103-111]",4895863.63307
194076:2623,734,54107149.6501,"[1-9], [11-55], [58-163], [165-228], [230-264], [267-507], [509-527], [530-538], [541-562], [565-748]",53624595.6379
194108:2624,778,62027959.6051,"[81-161], [164-264], [266-373], [376-396], [398-433], [436-452], [454-577], [579-590], [593-668], [671-872]",61240438.8848
194115:2627,700,54740924.4058,"[66-184], [186-338], [340-346], [348-493], [496-731], [819-857]",53028793.9023
194117:2627,38,2290541.65739,[1-38],2250708.3742
194119:2627,259,14639753.4713,"[1-229], [232-261]",14535495.2647
194120:2627,404,19143906.6226,"[1-162], [165-406]",19012608.8126
194150:2628,267,27094243.1564,"[42-127], [129-261], [264-311]",26689715.4962
194151:2628,572,41076693.5053,"[47-72], [75-191], [193-238], [240-619], [621-623]",40538811.0762
194153:2628,115,7042362.09399,[1-115],6961804.71467
194199:2629,308,27256792.3093,"[92-227], [229-336], [339-402]",26935637.2284
194210:2629,548,39033568.1637,"[3-195], [198-217], [220-359], [361-555]",38709346.474
194223:2630,52,6471312.91556,[61-112],6176596.84693
194224:2630,403,42903698.9083,"[1-126], [129-206], [208-250], [253-309], [312-386], [389-412]",42225235.3047
194225:2630,144,12882972.9536,"[1-23], [26-47], [49-85], [88-149]",12753945.0522
194270:2632,13,1492032.39525,[56-68],1468927.67698
194303:2634,45,5286795.12681,"[56-66], [69-102]",5068925.82046
194304:2634,44,4950198.72172,"[1-43], [46-46]",4810434.42593
194305:2634,84,8847943.25072,[1-84],8658738.3765
194314:2635,247,28787381.0571,"[52-130], [133-300]",28184420.5997
194315:2635,459,42161157.6666,"[1-10], [13-314], [317-428], [431-452], [455-467]",41630208.1078
194317:2635,20,1563381.98488,[1-20],1486670.70225
194424:2644,633,68106586.9453,"[63-141], [144-195], [198-266], [268-421], [424-478], [481-531], [534-553], [556-708]",66816702.3524
194428:2644,461,36251100.8009,"[1-85], [87-122], [125-294], [296-465]",35918136.7756
194429:2644,1009,56315591.5939,"[1-4], [7-54], [57-147], [150-411], [413-742], [745-986], [988-1019]",55908948.7639
194439:2645,60,8152076.63006,"[46-77], [79-106]",7801697.22904
194455:2646,219,27842973.5044,"[45-64], [67-140], [142-255], [293-303]",27118553.8394
194464:2646,206,22256555.2527,"[1-127], [130-142], [145-210]",21859494.8469
194479:2646,435,37009815.8434,"[1-44], [165-232], [235-262], [265-374], [377-431], [434-489], [492-529], [531-566]",36591320.4614
194480:2646,1394,80978264.7481,"[1-32], [34-205], [207-375], [377-387], [389-759], [762-956], [959-1402]",80386312.0427
194533:2648,823,77487619.0436,"[46-379], [382-415], [417-618], [620-872]",76524026.953
194619:2649,80,10197871.5365,[31-110],9956076.81431
194631:2649,219,24614624.1915,"[1-42], [44-100], [102-169], [171-222]",23783105.103
194643:2649,287,27942494.717,[1-287],27467854.7307
194644:2649,415,33526952.0041,"[1-168], [171-181], [184-185], [187-319], [321-421]",33239341.5297
194691:2651,241,29167025.7378,"[61-104], [107-155], [158-251], [254-268], [271-272], [275-289], [292-313]",28283821.3029
194699:2651,247,22898424.1806,"[1-30], [32-52], [55-64], [67-71], [73-154], [157-215], [218-238], [241-259]",22567305.9292
194702:2651,189,15667767.1189,"[1-138], [141-191]",15505396.7545
194704:2651,588,41138323.0831,"[1-41], [44-545], [548-592]",40765510.054
194711:2651,618,34332715.618,"[1-7], [9-619]",34040864.0004
194712:2651,753,33890376.3762,"[1-56], [61-418], [420-625], [627-759]",33664086.3776
194735:2653,83,10302304.5965,"[44-71], [74-101], [104-130]",9993357.90712
194778:2657,159,19637156.6181,"[60-118], [120-219]",18963634.8033
194789:2657,552,52910269.8952,"[1-18], [21-32], [34-80], [82-166], [168-269], [272-405], [409-414], [417-427], [430-566]",52251822.1504
194790:2657,45,3626010.65294,[1-45],3540964.35826
194825:2658,148,19520642.0167,"[72-117], [120-221]",18840838.2413
194896:2660,66,9087410.36941,"[34-55], [58-79], [82-103]",8617279.37246
194897:2660,100,12808801.7892,"[1-6], [8-78], [80-102]",12477790.8181
194912:2663,1580,155549433.511,"[53-70], [72-96], [98-444], [446-450], [453-467], [470-561], [564-660], [663-813], [815-840], [843-864], [866-1004], [1007-1025], [1027-1067], [1069-1137], [1140-1166], [1168-1249], [1251-1304], [1307-1444], [1447-1487], [1489-1503], [1506-1662]",152287910.655
194914:2663,38,2470729.51775,[1-38],2434302.75063
194915:2663,74,4662550.54947,[1-74],4621144.60031
195013:2669,437,55891804.1641,"[94-144], [146-185], [187-206], [208-299], [302-324], [326-366], [369-447], [450-526], [528-541]",54270139.9448
195014:2669,145,15377842.3337,"[1-6], [9-119], [121-148]",15206831.6622
195015:2669,13,1307710.06777,[1-13],1187535.59384
195016:2669,552,48042919.9153,"[1-21], [23-55], [58-63], [65-174], [177-184], [186-241], [243-246], [248-251], [254-367], [370-422], [425-560], [563-569]",47540971.1087
195099:2670,171,24360357.3559,"[70-144], [147-186], [189-208], [211-224], [227-248]",23593804.6639
195109:2671,144,20069467.5466,[98-241],19429738.2498
195112:2671,24,2835415.55493,"[1-12], [15-26]",2426600.21292
195113:2671,569,57414186.665,"[1-209], [212-388], [391-403], [406-419], [422-492], [495-579]",56490598.914
195114:2671,101,8582658.92732,"[1-69], [72-103]",8431454.57155
195115:2671,20,1642311.50669,"[1-7], [10-22]",1624200.28383
195147:2673,416,53382668.7616,"[132-282], [285-294], [297-331], [334-363], [366-442], [445-536], [539-559]",52093182.8422
195163:2675,269,36793885.1229,"[72-138], [140-224], [227-240], [243-243], [246-347]",35549066.1516
195164:2675,64,7908004.33324,[1-64],7734899.91261
195165:2675,257,28753944.438,"[1-4], [7-41], [44-54], [56-153], [156-260], [263-266]",28269636.5732
195251:2683,236,31336898.8809,"[1-131], [134-137], [140-152], [154-165], [167-242]",30484645.8754
195303:2686,295,39161385.5725,"[109-191], [194-277], [280-310], [312-316], [318-409]",37610746.3286
195304:2686,1206,107578183.219,"[1-3], [6-22], [27-80], [83-100], [103-154], [157-341], [344-588], [590-727], [729-1003], [1006-1079], [1083-1140], [1143-1229]",106506589.411
195378:2691,1029,99884471.3897,"[90-117], [120-127], [130-185], [187-204], [206-302], [305-542], [544-565], [567-645], [647-701], [703-734], [737-1120], [1122-1133]",98695569.0881
195390:2691,389,19908340.2868,"[1-1], [4-27], [30-145], [147-183], [186-187], [190-208], [210-213], [215-400]",19787230.6519
195396:2692,79,11151547.1831,"[49-55], [58-63], [66-131]",10623807.4337
195397:2692,1188,117854375.478,"[1-10], [12-89], [92-120], [123-141], [143-251], [253-253], [256-475], [478-525], [527-608], [611-776], [779-970], [972-1121], [1123-1181], [1184-1198], [1200-1209]",116333903.675
195398:2692,1756,90018474.8724,"[3-137], [139-494], [497-585], [587-817], [820-824], [827-1225], [1228-1307], [1309-1712], [1721-1736], [1741-1752], [1767-1795]",89227117.7851
195399:2692,381,13237409.8857,"[1-192], [194-382]",13114576.3248
195530:2698,399,46786056.8916,"[1-80], [82-104], [107-156], [159-300], [302-405]",46082156.3408
195540:2700,246,32673528.9715,"[68-123], [126-137], [140-283], [286-319]",31922026.9217
195551:2701,16,2282050.22258,[91-106],1994198.17258
195552:2701,1768,154929434.112,"[1-21], [23-27], [30-147], [149-155], [158-182], [185-287], [290-349], [352-469], [472-815], [818-823], [825-883], [885-1152], [1154-1300], [1303-1789]",153067185.416
195633:2710,3,462690.051192,[40-42],333722.731318
195647:2710,41,5351656.18634,[1-41],5224937.5451
195649:2710,242,28860426.1472,"[1-69], [72-151], [154-181], [183-247]",28373027.7071
195655:2710,490,46923445.4934,"[1-129], [131-184], [186-260], [263-350], [353-446], [448-483], [485-498]",46361268.8549
195656:2710,362,28660488.8114,[1-362],28436825.0965
195658:2710,382,24535232.7225,"[1-37], [40-362], [364-382], [384-386]",24259202.5216
195749:2711,128,17811242.6797,"[1-8], [10-33], [36-131]",17005379.7636
195757:2711,201,25124913.8445,"[1-82], [85-115], [118-161], [163-206]",23871810.3934
195758:2711,18,2105866.09867,[1-18],2020044.56352
195774:2712,815,97053380.5459,"[1-13], [16-137], [139-151], [154-162], [164-256], [258-276], [279-362], [365-466], [469-618], [620-649], [651-830]",95198568.6895
195775:2712,166,13913082.3684,"[1-57], [60-100], [103-170]",13695895.8688
195776:2712,469,34141547.1491,"[1-63], [66-283], [286-337], [340-399], [401-409], [411-477]",33859560.9393
195841:2713,12,1775573.61885,[74-85],1627044.11054
195868:2714,202,26488231.3657,"[1-88], [90-107], [110-205]",25778797.2749
195915:2717,838,95715357.5442,"[1-109], [111-275], [278-390], [393-417], [419-429], [432-505], [507-747], [749-785], [787-828], [830-850]",94225841.7579
195916:2717,208,17882108.769,"[1-16], [19-68], [71-212]",17729587.0617
195917:2717,4,324897.238644,[1-4],321217.524835
195918:2717,61,4888035.22766,"[1-44], [46-46], [49-64]",4833095.00519
195919:2717,15,1180062.07455,[1-15],1171089.35743
195923:2717,14,1083396.50381,[1-14],1075266.52727
195925:2717,12,918413.356063,[1-12],910496.781623
195926:2717,32,2421953.2526,"[1-1], [3-19], [21-34]",2405494.34126
195929:2717,29,2127541.08654,[1-29],2112263.197
195930:2717,590,37956998.863,"[1-77], [80-176], [179-526], [529-596]",37580140.6425
195937:2717,393,21067391.6771,"[1-28], [31-186], [188-396]",20926797.7914
195947:2718,65,9320169.14581,"[23-62], [64-88]",6510495.89376
195948:2718,547,63666706.2023,"[51-116], [119-144], [147-147], [150-352], [355-369], [372-402], [404-500], [503-540], [543-565], [567-602], [605-615]",62367403.3432
195950:2718,1562,111636302.498,"[1-71], [73-138], [141-169], [172-332], [335-350], [353-382], [385-421], [424-450], [453-483], [485-616], [619-715], [718-787], [789-800], [803-829], [831-831], [833-1587]",110361784.034
195963:2719,5,754325.274671,[54-58],726581.463403
195970:2720,41,5966032.7872,"[44-49], [51-85]",2372202.60703
196019:2723,15,2199664.01751,[54-68],1908216.96641
196027:2723,181,22528112.1923,"[1-55], [58-119], [121-155], [158-186]",22132500.4061
196046:2724,29,4253358.29587,[12-40],3979327.66928
196047:2724,70,9798587.39285,"[1-64], [70-75]",9168939.40486
196048:2724,47,6218192.71362,"[1-44], [46-48]",5962492.21543
196197:2726,499,64561358.1786,"[58-122], [125-179], [181-311], [313-516], [519-562]",62977475.4058
196199:2726,524,50955202.9752,"[1-33], [36-83], [86-118], [121-147], [150-237], [239-285], [287-534]",50348847.9408
196200:2726,68,5734603.57999,[1-68],5685893.3049
196202:2726,104,8390703.85508,"[3-61], [64-108]",8304648.81117
196203:2726,113,8666613.40705,"[1-102], [107-117]",8609649.29243
196218:2728,757,91366767.5842,"[55-199], [201-224], [226-393], [396-494], [496-741], [744-752], [754-757], [759-820]",89792209.9718
196239:2728,1011,78738289.3471,"[1-59], [62-154], [157-272], [274-373], [375-432], [435-465], [468-647], [650-706], [709-1025]",78128767.8162
196249:2729,35,5213905.33116,"[63-77], [80-99]",4967781.43182
196250:2729,423,54436286.718,"[1-2], [5-265], [267-426]",53323503.253
196252:2729,35,3914792.14174,[1-35],3871888.06535
196334:2732,270,37805012.2676,"[59-111], [113-123], [126-132], [135-167], [170-193], [196-257], [259-267], [270-289], [292-342]",36884196.1455
196349:2733,190,27318504.1637,"[65-84], [86-154], [157-244], [246-258]",26561004.2203
196357:2733,4,452560.411249,[1-4],417223.794274
196359:2733,2,224188.642662,[1-2],186935.475312
196362:2733,88,9422674.6246,[1-88],9219832.97206
196363:2733,32,3269926.73739,"[1-8], [11-34]",3198541.15159
196364:2733,1283,97593011.8416,"[1-93], [96-136], [139-365], [368-380], [382-601], [603-795], [798-884], [887-1196], [1199-1200], [1203-1299]",96692124.1313
196437:2734,166,14496639.7835,"[1-1], [3-74], [77-169]",14376711.7906
196438:2734,1266,84162758.2199,"[1-181], [184-699], [701-1269]",83573693.6566
196452:2736,995,115236223.421,"[82-112], [114-490], [493-586], [589-618], [622-668], [671-716], [718-726], [728-956], [958-1004], [1007-1091]",112594665.361
196453:2736,1630,114181877.977,"[1-74], [77-145], [147-669], [673-714], [717-799], [802-988], [991-1178], [1180-1180], [1182-1248], [1250-1528], [1531-1647]",113255823.083
196495:2737,158,21272539.7273,"[114-180], [182-272]",20795558.016
196509:2737,68,7217292.78462,[1-68],7133651.40991
196531:2739,370,48954373.3085,"[62-150], [152-253], [256-285], [288-302], [305-422], [425-440]",48069731.519
198049:2797,55,269480.474754,"[1-11], [14-57]",264633.109163
198050:2797,154,722244.636973,[2-155],711489.033953
198063:2797,289,1225008.98952,"[1-37], [40-72], [74-124], [127-294]",1211871.69309
198116:2798,73,5995404.93013,"[36-52], [54-55], [58-96], [98-112]",5786706.53886
198207:2805,97,6895685.0317,[1-97],6809414.96208
198208:2805,204,12904955.173,"[1-92], [94-134], [137-147], [150-209]",12721727.4707
198210:2805,221,12130138.1234,[1-221],12042684.2014
198212:2805,574,25473039.7893,[1-574],25193759.6939
198213:2805,107,4030469.73391,[1-107],3938436.78317
198215:2805,12,434226.982387,[1-12],427876.160391
198230:2806,1358,97308934.871,"[1-33], [36-57], [60-235], [237-324], [326-388], [390-459], [462-625], [627-651], [653-805], [808-811], [814-948], [950-1090], [1093-1103], [1106-1332], [1335-1380]",96444756.0679
198249:2806,7,345328.590431,[1-7],342505.961621
198269:2807,196,25097849.0978,[3-198],24719410.2736
198271:2807,784,73787152.6169,"[1-91], [93-170], [173-299], [301-450], [453-513], [516-616], [619-628], [631-791], [793-797]",72939016.4312
198272:2807,603,40059301.4214,"[1-185], [188-245], [248-314], [317-433], [436-444], [454-620]",39612330.2068
198346:2810,4,482245.641681,[44-47],425124.083121
198372:2812,54,6905842.33096,[57-110],6695049.47605
198485:2816,167,21087724.8077,"[68-109], [112-134], [136-181], [184-239]",20797945.9905
198487:2816,1596,126488409.697,"[1-145], [147-514], [517-668], [671-733], [736-757], [760-852], [854-994], [997-1434], [1437-1610]",125087922.097
198522:2819,142,17821044.5562,"[65-144], [147-208]",17473960.752
198941:2840,178,22259272.5397,"[102-189], [191-220], [222-241], [243-249], [252-284]",21907773.0339
198954:2842,168,19880836.186,"[108-156], [159-277]",19559243.7465
198955:2842,1524,116542432.181,"[1-45], [47-50], [53-220], [223-269], [271-284], [286-338], [340-580], [583-742], [744-910], [913-946], [949-1162], [1165-1169], [1172-1182], [1185-1188], [1190-1246], [1249-1304], [1306-1467], [1470-1485], [1487-1552]",115267532.446
198969:2843,1180,108348630.797,"[58-81], [84-247], [249-323], [325-365], [367-413], [416-466], [468-643], [646-918], [920-1011], [1013-1175], [1178-1236], [1239-1253]",107160278.777
199008:2847,558,61478952.4718,"[75-93], [95-121], [124-208], [211-331], [333-373], [376-482], [485-605], [608-644]",60417438.1378
199011:2847,23,2127356.70989,"[1-11], [13-24]",2107957.32626
199021:2848,1420,126628337.275,"[59-88], [91-128], [130-133], [136-309], [311-333], [335-410], [414-469], [471-533], [535-563], [565-1223], [1226-1479], [1481-1494]",125005321.053
199318:2858,74,10409816.0682,[65-138],10068581.5251
199319:2858,973,98305613.6362,"[1-7], [9-223], [226-277], [280-348], [351-358], [360-422], [424-490], [492-493], [496-612], [615-642], [645-720], [723-728], [730-731], [734-741], [744-943], [945-997]",96915497.8501
199336:2858,968,60895617.7154,"[1-33], [36-122], [125-231], [234-614], [617-789], [791-977]",60438872.7623
199356:2861,132,17426797.4982,"[95-121], [123-168], [171-205], [208-231]",17129277.0668
199409:2870,1267,110561915.24,"[25-54], [56-89], [91-204], [206-290], [293-583], [586-602], [604-1014], [1016-1300]",109217879.446
199428:2871,575,61103577.6041,"[61-197], [200-210], [212-382], [387-414], [417-436], [439-530], [533-648]",60101390.3111
199429:2871,146,12227520.6306,"[1-28], [30-36], [39-55], [58-101], [103-148], [151-154]",12090801.2466
199435:2872,1527,126804051.567,"[63-106], [109-261], [263-579], [582-654], [656-696], [699-1034], [1037-1144], [1147-1327], [1330-1411], [1414-1431], [1434-1441], [1444-1487], [1489-1610]",125243790.853
199436:2872,742,36238485.9399,"[1-113], [116-254], [257-675], [678-748]",35939367.4382
199564:2873,3,396619.711976,[1-3],386491.129134
199569:2873,363,36073402.294,"[1-2], [5-136], [139-367]",35620344.3537
199570:2873,17,1504715.59795,[1-17],1436681.4746
199571:2873,558,43090726.2721,"[1-184], [186-360], [363-561]",42504368.5591
199572:2873,317,20141645.6571,[1-317],19902159.949
199573:2873,22,1311332.34617,[1-22],1286189.43631
199574:2873,242,13564045.7166,"[1-53], [56-153], [156-246]",13475436.8598
199608:2875,2343,168824011.431,"[60-157], [159-209], [211-341], [344-390], [392-461], [464-800], [802-1064], [1067-1392], [1395-1630], [1633-1904], [1907-1962], [1965-2252], [2255-2422]",167118112.833
199698:2880,55,6609771.28101,"[72-94], [96-127]",6479772.17537
199699:2880,751,69146934.3391,"[1-154], [157-169], [172-410], [412-756]",68208518.9176
199703:2880,525,33326233.0247,"[1-94], [97-482], [485-529]",33072271.0732
199739:2882,68,8472907.17363,[66-133],8354311.34548
199751:2884,24,2941842.9631,"[103-119], [121-127]",2830945.94927
199752:2884,316,33162756.6223,"[1-141], [144-180], [182-186], [188-211], [214-322]",32543746.1802
199753:2884,59,5509135.22102,[1-59],5394658.96413
199754:2884,990,69171124.3502,"[1-203], [205-325], [328-457], [459-607], [610-613], [615-806], [808-998]",68478250.3265
199804:2886,543,57856060.6478,"[78-88], [90-181], [183-235], [238-278], [281-290], [292-519], [522-575], [577-628], [631-632]",57184772.3244
199812:2887,693,71087936.9347,"[70-141], [144-163], [182-211], [214-471], [474-505], [508-557], [560-571], [574-623], [626-751], [754-796]",70076003.3282
199833:2888,1227,103103593.891,"[1-13], [16-103], [105-250], [253-493], [496-794], [797-1032], [1034-1185], [1188-1239]",101546954.148
199862:2891,83,11075110.7504,[59-141],10765578.541
199864:2891,478,51989856.2749,"[1-87], [89-89], [92-103], [106-372], [374-385], [388-486]",50971931.9971
199867:2891,316,27057265.3607,"[1-134], [136-172], [174-218], [221-320]",26672341.1766
199868:2891,21,1635096.01869,[1-21],1621133.94602
199875:2892,264,32986091.2008,"[70-150], [152-334]",31711131.6606
199876:2892,366,36410375.6363,"[1-19], [22-95], [97-249], [252-272], [274-340], [343-362], [365-376]",35985362.3938
199877:2892,868,62275819.8289,"[1-173], [175-605], [607-701], [703-871]",61733435.344
199960:2893,397,46322286.6134,"[72-139], [141-197], [204-232], [235-363], [365-367], [370-380], [383-459], [461-466], [469-485]",45680205.7181
199961:2893,286,26574006.4259,"[1-211], [213-287]",26239162.4316
199973:2896,17,2267948.82263,[73-89],2204275.17138
200041:2898,1012,98908542.6432,"[62-83], [85-157], [162-274], [277-318], [321-335], [337-386], [388-389], [392-400], [402-568], [571-593], [595-646], [649-728], [731-860], [862-930], [932-1096]",97564530.0958
200042:2898,535,31944012.187,"[1-110], [112-536]",31660070.2944
200049:2898,177,8517851.81282,[1-177],8471702.72626
200075:2900,498,55692617.9185,"[76-139], [142-232], [256-326], [329-422], [425-431], [434-500], [502-605]",55001150.6717
200091:2902,1611,139879382.179,"[67-67], [70-151], [154-172], [174-187], [190-196], [199-201], [204-425], [428-535], [537-607], [610-879], [881-943], [946-999], [1001-1025], [1027-1132], [1135-1339], [1341-1433], [1435-1450], [1453-1523], [1526-1664], [1667-1680], [1683-1710]",138264311.5
200152:2905,43,5648259.34865,[74-116],5481183.89823
200180:2908,18,2213429.94759,[1-18],2161131.48232
200188:2908,344,34927560.7764,"[1-24], [27-28], [31-76], [79-271], [274-352]",34441809.6728
200190:2908,856,62679217.7403,"[1-4], [6-76], [79-143], [146-159], [162-256], [258-321], [324-401], [403-453], [456-457], [460-565], [567-588], [591-591], [593-595], [597-646], [649-878]",61835851.7607
200229:2911,614,49211632.734,"[1-33], [41-219], [222-244], [247-290], [293-624], [627-629]",48463845.8616
200243:2912,69,9723531.20504,"[69-103], [106-139]",9440211.67105
200244:2912,611,67676577.4416,"[3-304], [307-442], [445-507], [510-619]",66587048.2399
200245:2912,352,28695705.0801,"[1-103], [105-128], [131-248], [251-357]",28433087.2384
200368:2918,109,10358050.6716,[72-180],10172784.5827
200369:2918,675,52023961.0737,"[1-5], [8-61], [64-360], [363-439], [441-578], [580-603], [606-684], [686-686]",51457954.9826
200381:2920,184,24997707.4211,"[8-15], [18-36], [38-89], [91-195]",24537265.1097
200466:2926,141,6082965.41647,[134-274],5958303.24488
200473:2927,1213,99079740.3739,"[96-157], [159-224], [226-304], [306-469], [472-524], [527-542], [545-619], [622-688], [691-730], [733-738], [740-1324]",98116541.9919
200491:2928,317,39993870.1674,"[87-107], [110-149], [152-157], [160-197], [199-237], [240-270], [273-273], [276-334], [336-360], [363-419]",39256191.0494
200515:2929,87,12373886.7796,[97-183],11988398.9086
200519:2929,735,75840121.2096,"[1-111], [114-126], [129-136], [138-224], [227-258], [261-350], [353-611], [613-747]",74809362.5277
200525:2932,896,96025195.9254,"[77-149], [151-164], [166-190], [193-276], [278-311], [314-464], [467-488], [491-674], [676-704], [707-755], [757-895], [898-937], [939-990]",94513486.3018
200532:2932,37,2908234.73017,[1-37],2883400.68944
200599:2934,61,8860617.13409,"[75-129], [132-137]",8529394.15246
200600:2934,1116,110048250.06,"[1-183], [186-299], [302-313], [316-324], [327-334], [336-397], [399-417], [420-526], [529-591], [594-609], [611-660], [663-823], [826-900], [902-943], [945-1139]",108603824.789
200990:2976,69,9289878.16357,[75-143],8900592.615
200991:2976,1033,97698501.3475,"[1-42], [44-44], [47-80], [83-175], [178-181], [184-252], [255-632], [635-916], [918-1017], [1019-1048]",96153549.3996
200992:2976,578,35274290.874,"[1-405], [408-434], [436-581]",35028608.6917
201062:2978,191,26850843.3157,[78-268],26058511.571
201097:2980,407,51667859.7714,"[83-136], [138-245], [248-300], [303-370], [372-429], [432-497]",50291477.4688
201114:2981,14,2156290.39974,[1-14],1942006.04259
201115:2981,73,10621795.518,[1-73],10216052.3864
201159:2983,142,20921946.0436,[70-211],19554229.0647
201164:2983,409,48511571.482,"[1-8], [10-94], [96-125], [128-178], [180-198], [200-271], [274-416], [418-418]",47503896.7347
201168:2983,725,60984294.5116,"[1-37], [39-275], [278-481], [483-558], [560-730]",60208205.8823
201173:2983,584,35034433.3408,"[1-194], [197-586]",34784670.2107
201174:2983,447,21180890.5221,"[1-214], [216-263], [265-339], [342-451]",20988842.8041
201193:2984,19,1317887.18081,[1-19],1271385.17848
