Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
202972:3067,535,57446513.0132,"[1-30], [33-184], [186-290], [292-295], [298-371], [374-429], [431-544]",56741590.885
202973:3067,1397,86734192.4499,"[1-234], [237-305], [308-437], [439-530], [532-541], [544-552], [555-851], [853-1408]",86076596.2136
203002:3071,1496,139081930.76,"[77-128], [130-141], [144-207], [209-267], [270-360], [362-501], [504-641], [643-669], [671-671], [674-717], [720-1034], [1037-1070], [1073-1370], [1372-1392], [1395-1410], [1413-1596]",137024840.11
203894:3113,1232,100754157.549,"[82-272], [275-477], [480-902], [905-1319]",99768034.4071
203909:3114,298,41014412.4313,"[79-113], [116-117], [120-140], [143-382]",39612018.6303
203912:3114,1311,104714778.732,"[1-306], [308-566], [569-609], [611-698], [701-820], [823-865], [867-1033], [1035-1321]",103735640.627
203985:3121,10,1301918.24251,[1-10],471159.82659
203986:3121,45,5695082.23391,[1-45],2343100.99645
203987:3121,1007,93441415.1976,"[1-9], [12-241], [243-339], [342-781], [784-1014]",92600211.8439
203991:3121,3,209821.264168,[1-3],125566.927023
203992:3121,15,1043570.14501,[1-15],907091.022151
203994:3121,419,26126079.1898,"[1-56], [59-136], [139-304], [306-342], [344-425]",25840595.2413
204100:3124,23,3610826.70585,[117-139],3429829.29421
204101:3124,74,11067534.3677,[1-74],10710625.8315
204113:3126,597,77847418.9549,"[82-96], [98-102], [105-127], [129-191], [194-258], [261-327], [329-388], [390-400], [402-583], [585-690]",76253142.978
204114:3126,358,33895353.2475,[1-358],33474091.2894
204238:3128,31,4490737.20866,"[23-52], [55-55]",4372524.3879
204250:3129,697,80912138.626,"[92-118], [121-177], [179-285], [287-336], [339-400], [403-521], [524-543], [546-682], [684-801]",79589677.1461
204511:3131,56,5956761.85539,[1-56],5900348.06632
204541:3133,194,29430522.0483,"[5-39], [42-42], [44-139], [142-149], [151-204]",27932464.9281
204544:3133,419,47879903.6205,"[1-11], [13-93], [96-195], [197-224], [226-334], [337-426]",46970982.6689
204552:3133,9,627705.197965,[1-9],575171.134042
204553:3133,98,6634953.15618,"[1-51], [53-60], [63-101]",6544609.49258
204554:3133,507,30079181.6639,"[1-5], [7-221], [224-455], [458-470], [472-481], [483-514]",29790338.71
204555:3133,333,16630176.3974,"[1-329], [331-334]",16543882.8961
204563:3134,468,60495571.5335,"[91-99], [102-178], [180-219], [222-229], [231-364], [366-366], [369-470], [473-524], [527-571]",59228575.5556
204564:3134,1261,104033109.229,"[1-84], [87-89], [92-159], [161-187], [190-191], [193-293], [296-315], [317-340], [343-427], [429-434], [437-735], [737-855], [858-1206], [1209-1248], [1251-1284]",102916555.496
204565:3134,48,2865254.41404,[1-48],2815443.37001
204566:3134,12,703648.36202,[1-12],658415.003729
204567:3134,38,2200438.22153,[1-38],2185485.7121
204576:3135,251,36284997.7445,"[49-192], [195-301]",34345637.3795
204577:3135,1265,117123704.504,"[1-46], [49-64], [67-105], [107-170], [173-181], [183-193], [196-653], [656-669], [671-740], [742-913], [915-1057], [1059-1115], [1117-1282]",115882174.608
204599:3138,248,36697408.1602,"[73-83], [85-94], [97-121], [124-125], [128-173], [175-240], [243-245], [248-264], [266-292], [294-334]",35678384.0501
204601:3138,1223,106575957.458,"[1-25], [28-62], [65-80], [83-89], [92-290], [292-563], [565-591], [593-652], [655-780], [783-812], [814-892], [894-984], [986-1003], [1006-1038], [1040-1088], [1091-1102], [1105-1161], [1164-1250]",105446788.141
205086:3169,55,412792.97869,[95-149],401788.266075
205111:3178,356,47965215.3204,"[88-390], [392-441], [444-446]",47011338.2365
205158:3182,637,76218224.6127,"[81-289], [292-313], [315-473], [476-591], [594-595], [597-612], [615-663], [665-667], [672-685], [687-733]",74858412.8677
205193:3185,817,93327599.0324,"[80-109], [111-349], [352-486], [488-650], [652-712], [714-902]",91934580.9838
205217:3185,310,23892767.5508,"[1-12], [16-111], [113-171], [174-250], [253-318]",23703458.7088
205233:3188,60,8845123.61257,[94-153],8506127.34215
205236:3188,345,40626315.0575,"[1-190], [193-207], [209-260], [263-331], [334-352]",39892041.2217
205238:3188,606,50437921.3214,"[1-6], [9-199], [202-254], [256-304], [306-355], [358-381], [384-596], [598-617]",49862354.2215
205303:3191,73,10372031.3204,"[35-54], [90-132], [135-144]",10158315.3544
205310:3192,474,59185871.966,"[76-306], [309-313], [316-316], [319-321], [324-457], [460-559]",58104777.4481
205311:3192,1249,89439272.7524,"[1-85], [88-92], [95-183], [186-395], [397-592], [595-910], [913-1260]",88592090.9167
205339:3194,326,42429759.7317,"[71-175], [178-213], [216-230], [233-262], [265-404]",41606593.8367
205344:3194,1576,120761467.651,"[1-83], [86-104], [106-359], [362-431], [433-949], [951-967], [969-1127], [1129-1346], [1348-1586]",119578728.744
205515:3200,134,17931457.1912,"[82-201], [203-216]",17366229.1101
205519:3200,464,44472313.1398,"[1-47], [50-172], [175-367], [370-386], [389-472]",43855382.4918
205526:3200,328,22383840.4031,"[1-269], [272-277], [280-332]",22181861.9063
205614:3201,38,4036782.74089,"[1-4], [7-40]",3899749.55513
205617:3201,536,44483021.8481,"[1-29], [32-102], [105-123], [125-140], [143-264], [266-448], [451-532], [534-547]",43959191.9654
205618:3201,12,790999.675761,[1-12],748039.618008
205620:3201,175,10348111.9861,[1-175],10280189.8516
205666:3203,668,85175405.4878,"[60-119], [122-165], [168-259], [261-322], [325-578], [580-594], [597-721], [724-739]",83453070.6511
